,OCR Text,Ground Truth,Lexical Correction
250,"t If yon loe me, you are lost-utterly lostl'' She was so startled, that she could make no reply, but burst into tears.","“If you love me, you are lost—utterly lost!” She was so startled, that she could make no reply, but burst into tears.","t If yon sloe me, you are lost-utterly lost'' She was so startled, that she could make no reply, but burst into tears."
251,"This was the deputy-porter of the lodging-house they were about to enter,",This was the deputy-porter of the lodging-house they were about to enter.,"This was the deputy-porter of the lodging-house they were about to enter,"
252,"To crimes alone have stained my soul, but both, I trust, hae been expiated by repentance.'' Were they deeds of loodt'' asked Auriol.","Two crimes alone have stained my soul; but both, I trust, have been expiated by repentance.” “Were they deeds of blood?” asked Auriol.","To crimes alone have stained my soul, but both, I trust, hae been expiated by repentance.'' Were they deeds of blood'' asked Auriol."
253,2 Can death assail me when I am just about to enter upon perpetual life7,“Can death assail me when I am just about to enter upon perpetual life?,2 Can death assail me when I am just about to enter upon perpetual life7
254,"His complexion was a bilions brown, and he possessed none of the good looks which in his daughter had so captiated Auriol, and which it is to be prcsumed, tlerefore, she inheritei from her mother.","His complexion was a bilious brown, and he possessed none of the good looks which in his daughter had so captivated Auriol, and which it is to be presumed, therefore, she inherited from her mother.","His complexion was a bilious brown, and he possessed none of the good looks which in his daughter had so captivated Auriol, and which it is to be presumed, therefore, she inherited from her mother."
255,Tho ictims of Auriol 1'' replied the figure on the right.,“The victims of Auriol!” replied the figure on the right.,Tho victims of Auriol 1'' replied the figure on the right.
256,"For my part, I sha'n't stay any longer.","“For my part, I shan’t stay any longer.","For my part, I sha'n't stay any longer."
257,"Then we're in your master's power t'' Yory like it,'' replied Old Parr.","Then we’re in your master’s power?” “Very like it,” replied Old Parr.","Then we're in your master's power t'' Yory like it,'' replied Old Parr."
258,". Tho orke donet'' eried the Sandman to his compnion, ho instantly came np with the dark lanutern; let's take him below, and strip him.'' ``Agreed,'' replied tho Tinker; '`'but first let's see wot ho hass got in his pockets.'' ith all my 'art,'' replied the Sandman, searching tha clothes of the victim,","“The vork’s done!” cried the Sandman to his companion, who instantly came up with the dark lantern; “let’s take him below, and strip him.” “Agreed,” replied the Tinker; “but first let’s see wot he has got in his pockets.” “Vith all my ‘art,” replied the Sandman, searching the clothes of the victim.",". Tho corked done'' eried the Sandman to his companion, ho instantly came np with the dark lantern; let's take him below, and strip him.'' ``Agreed,'' replied tho Tinker; '`'but first let's see wot ho has got in his pockets.'' with all my 'art,'' replied the Sandman, searching tha clothes of the victim,"
259,"Auriol was abot to follow her, when] he received a violent blow on the chest, which stretched] him on the paement.","Auriol was about to follow her, when he received a violent blow on the chest, which stretched him on the pavement.","Auriol was about to follow her, when] he received a violent blow on the chest, which stretched] him on the pavement."
260,"Wot's tl row, eh 27' Vy, this is it,'' replied the Tinker, nnable to contain his satisfaction; `` there's secrets contained in this here pocket-book as'll be worth a hundred pound and better to us.","“Wot’s the row, eh?” “Vy, this is it,” replied the Tinker, unable to contain his satisfaction; “there’s secrets contained in this here pocket-book as’ll be worth a hundred pound and better to us.","Wot's tl row, ch 27' Vy, this is it,'' replied the Tinker, unable to contain his satisfaction; `` there's secrets contained in this here pocket-book as'll be worth a hundred pound and better to us."
261,"e You shall be removed to another chamber,'' he pursued, t where you can be more strictly watched.'' Take me forth-oh I","“You shall be removed to another chamber,” he pursued, “where you can be more strictly watched.” “Take me forth—oh!","e You shall be removed to another chamber,'' he pursued, t where you can be more strictly watched.'' Take me forth-oh I"
262,"Attached to hooks in the cross-bcam nearest the house hung a row of old horseshoes, while from the centre depended a largo rusty bell.","Attached to hooks in the cross-beam nearest the house hung a row of old horse-shoes, while from the centre depended a large rusty bell.","Attached to hooks in the cross-bcam nearest the house hung a row of old horseshoes, while from the centre depended a largo rusty bell."
263,"The eil thought was no sooner conceied than acted upon,'' pursued Darey.","“The evil thought was no sooner conceived than acted upon,” pursued Darcy.","The eil thought was no sooner conceived than acted upon,'' pursued Darey."
264,"e It will be in vain to fly,'' said the nunseen speaker.","“It will be in vain to fly,” said the unseen speaker.","e It will be in vain to fly,'' said the unseen speaker."
265,ha I,ha!,ha I
266,"What mean you, wretch f'' eried Mr,","“What mean you, wretch?” cried Mr.","What mean you, wretch f'' eried Mr,"
267,"Oh, that Ebba should only proe a lovrely phantom of the nightl",Oh that Ebba should only prove a lovely phantom of the night!,"Oh, that Ebba should only prove a lovely phantom of the nightly"
268,It was the laboratory precisely as ho had seen it aboa two centuries ago.,It was the laboratory precisely as he had seen it above two centuries ago.,It was the laboratory precisely as ho had seen it abor two centuries ago.
269,Now let us talk on other matters.,Now let us talk on other matters.,Now let us talk on other matters.
270,But my spirits are not always nder my control.,“But my spirits are not always under my control.,But my spirits are not always under my control.
271,"DBring the unfortunate youth to my dwelling, Daldred, and you shall be well rcwardel.","Bring the unfortunate youth to my dwelling, Baldred, and you shall be well rewarded.","DBring the unfortunate youth to my dwelling, Daldred, and you shall be well rewarded."
272,"All at once, and with nas much suddenness as his cure had bcen effected, the young man started, uttering a pierciug ery, and placed his hand to his sido.","All at once, and with as much suddenness as his cure had been effected, the young man started, uttering a piercing cry, and placed his hand to his side.","All at once, and with nas much suddenness as his cure had been effected, the young man started, uttering a piercing very, and placed his hand to his sido."
273,"Lor' bless 'ee, yes,'' replied Ginger; theres as many fanciers i' Frnce as here.","“Lor’ bless ‘ee, yes,” replied Ginger; “there’s as many fanciers i’ France as here.","Lor' bless 'ee, yes,'' replied Ginger; theresa as many fanciers i' Frnce as here."
274,It was a pious and praiseworthy deed.,“It was a pious and praiseworthy deed.,It was a pious and praiseworthy deed.
275,"Vy, Old Parr, that ain't you 7'' cried Ginger, gazing at him in astonishment.","“Vy, Old Parr, that ain’t you?” cried Ginger, gazing at him in astonishment.","Vy, Old Parr, that ain't you 7'' cried Ginger, gazing at him in astonishment."
276,"EBARD PABTON. m 173 BrFon the chair, in which Mr.","Chapter 3 Gerard Paston Before the chair, in which Mr.","EBARD PABTON. m 173 BrFon the chair, in which Mr."
277, . Great confusion attended his disnppearance., Great confusion attended his disappearance., . Great confusion attended his disappearance.
278,"And as the words were uttered, a side door was opened on the opposite side, and Auriol was dragged forth from it by two masked personages, who looked liko familiars of tho quisition.","And as the words were uttered, a side door was opened on the opposite side, and Auriol was dragged forth from it by two masked personages, who looked like familiars of the Inquisition.","And as the words were uttered, a side door was opened on the opposite side, and Auriol was dragged forth from it by two masked personage, who looked like familiars of tho acquisition."
279,"Suddenly, he was roused by a loud joyful cry, and, uncovering his eyes, he behoeld Doctor Lamb pouring the contecnts of the matrass-a bright, transparent liquid-into a small phial.","Suddenly, he was roused by a loud joyful cry, and, uncovering his eyes, he beheld Doctor Lamb pouring the contents of the matrass—a bright, transparent liquid—into a small phial.","Suddenly, he was roused by a loud joyful cry, and, uncovering his eyes, he behold Doctor Lamb pouring the contents of the matrass-a bright, transparent liquid-into a small phial."
280,"fquares and circles were traced upon the floor, and here and there were scattered cups and balls, and other matters apparently belonging to a conjuring apparatns.","Squares and circles were traced upon the floor, and here and there were scattered cups and balls, and other matters apparently belonging to a conjuring apparatus.","squares and circles were traced upon the floor, and here and there were scattered cups and balls, and other matters apparently belonging to a conjuring apparatus."
281,"eIl take him to the Life Guardsman, nenr the barracks, that'a the nearest pullie.'' Tl join him there in an honr,'' replied Auriol, moving away.","“I’ll take him to the Life Guardsman, near the barracks—that’s the nearest public.” “I’ll join him there in an hour,” replied Auriol, moving away.","eIl take him to the Life Guardsman, near the barracks, that'a the nearest sullied.'' Tl join him there in an hour,'' replied Auriol, moving away."
282,"what's such warmint to me '' cried the applewoman, furiously.",what’s such warmint to me?” cried the applewoman furiously.,"what's such warming to me '' cried the noblewoman, furiously."
283,t Would you like to hear wot's written upon it7,“Would you like to hear wot’s written upon it?,t Would you like to hear wot's written upon it7
284,"I vish Id neer undertaken the job.'' e Don't let's gie it up in sich an 'urry,'' replied the Tinker; '` summat may be made on it yet.","“I vish I’d never undertaken the job.” “Don’t let’s give it up in sich an ‘urry,” replied the Tinker; “summat may be made on it yet.","I wish Id neer undertaken the job.'' e Don't let's gie it up in sich an 'urry,'' replied the Tinker; '` summate may be made on it yet."
285,"TonxcnorT and his companions had scarcely gined s passago in tho deserted house, which they had entered in the manner deseribed in a previous chapter, when they were alarmed by the sudden and furious ringig of a bell overhead.","Thorneycroft and his companions had scarcely gained a passage in the deserted house, which they had entered in the manner described in a previous chapter, when they were alarmed by the sudden and furious ringing of a bell overhead.","TonxcnorT and his companions had scarcely found s passage in tho deserted house, which they had entered in the manner described in a previous chapter, when they were alarmed by the sudden and furious ringing of a bell overhead."
286,"Tinker,'' replied the ironmerchant.","Tinker,” replied the iron-merchant.","Tinker,'' replied the merchant."
287,"Wot are yon afeerd on 7'' With this he aulted upon the planks, and peeping cautionsly ont of the open door to which they led, saw the object of lis scrutiny enter the adjoining house through a broken window.","Wot are you afeerd on?” With this he vaulted upon the planks, and peeping cautiously out of the open door to which they led, saw the object of his scrutiny enter the adjoining house through a broken window.","Wot are yon afeard on 7'' With this he vaulted upon the planks, and peeping cautiously ont of the open door to which they led, saw the object of lis scrutiny enter the adjoining house through a broken window."
288,"2As we are, such will you bo ere long.'' What erime have you committed?'' demanded Ebba.","“As we are, such will you be ere long.” “What crime have you committed?” demanded Ebba.","2As we are, such will you bo ere long.'' What crime have you committed?'' demanded Ebba."
289,"On recovrering, she found herself seated on a fauteuil covered with black velet, in tho midst of a gloomy chamber of vast extent, while beside her, and supporting her from fualling, stood the mysterious and terriblo stranger.","On recovering, she found herself seated on a fauteuil covered with black velvet, in the midst of a gloomy chamber of vast extent, while beside her, and supporting her from falling, stood the mysterious and terrible stranger.","On recovering, she found herself seated on a fauteuil covered with black velvet, in tho midst of a gloomy chamber of vast extent, while beside her, and supporting her from falling, stood the mysterious and terrible stranger."
290,"However, since wo hare met, I hope yo'll walk] home and dine with us.'' Auriol was about to decline the invitation, but Ebba] glanced at him entreatingly.","However, since we have met, I hope you’ll walk home and dine with us.” Auriol was about to decline the invitation, but Ebba glanced at him entreatingly.","However, since wo hare met, I hope yo'll walk] home and dine with us.'' Auriol was about to decline the invitation, but Ebba] glanced at him entreatingly."
291,"Again the gong was stricken, and Ebba looked round towards tho eurtain.","Again the gong was stricken, and Ebba looked round towards the curtain.","Again the gong was stricken, and Ebba looked round towards tho curtain."
292,"Would I coull look forth from this dungeon,'' pursued Auriol, again breaking silence, ``and satisfy myself of the truth or falsehood of my doubtas by a view of the external world, for I am so perplexed in mind, that if I were not distracted already, tey would be enough to drire me so.","“Would I could look forth from this dungeon,” pursued Auriol, again breaking silence, “and satisfy myself of the truth or falsehood of my doubts by a view of the external world, for I am so perplexed in mind, that if I were not distracted already, they would be enough to drive me so.","Would I could look forth from this dungeon,'' pursued Auriol, again breaking silence, ``and satisfy myself of the truth or falsehood of my doubts by a view of the external world, for I am so perplexed in mind, that if I were not distracted already, it would be enough to drive me so."
293,I haoe come] with Mr.,“I have come with Mr.,I have come] with Mr.
294,"Thorneycroft exerted all his energies, and sprang forward.","Thorneycroft exerted all his energies, and sprang forward.","Thorneycroft exerted all his energies, and sprang forward."
295,"` A word before we part.'' ``Ay, holdI'' echoed a loud and imperions voice, from the depths of the passage.","“A word before we part.” “Ay, hold!” echoed a loud and imperious voice from the depths of the passage.","` A word before we part.'' ``Ay, hold'' echoed a loud and imperious voice, from the depths of the passage."
296,But I shall live onshall lie throngh all changes-all customs-all time.,But I shall live on—shall live through all changes—all customs—all time.,But I shall live shall lie through all changes-all customs-all time.
297,"I hasve not touched yon, sir,'' replied Baldred.","“I have not touched you, sir,” replied Baldred.","I have not touched yon, sir,'' replied Baldred."
298,"Is it you?' The figure bowed its head, but spoke not.","“Is it you?” The figure bowed its head, but spoke not.","Is it you?' The figure bowed its head, but spoke not."
299,"IIes mual, depend upon it.","He’s mad, depend upon it.","IIes mull, depend upon it."
300,Another sudden change.,Another sudden change.,Another sudden change.
301,e wot dye think o' this'' pursued Ginger.,“Wot d’ye think o’ this?” pursued Ginger.,e wot dye think o' this'' pursued Ginger.
302,"Thorneyeroft staggered along the passssge, expecting every moment to drop, until at length a current of fresh air blew in his face, and enabled him to breathe more freely.","Thorneycroft staggered along the passage, expecting every moment to drop, until at length a current of fresh air blew in his face, and enabled him to breathe more freely.","Thorneyeroft staggered along the passssge, expecting every moment to drop, until at length a current of fresh air blew in his face, and enabled him to breathe more freely."
303,"Thorneycroft, neasily.",Thorneycroft uneasily.,"Thorneycroft, uneasily."
304,"Ha 1'' execlaimed Anriol, starting.","“Ha!” exclaimed Auriol, starting.","Ha 1'' exclaimed Anriol, starting."
305,Any address 7'' asked the Sandman.,“Any address?” asked the Sandman.,Any address 7'' asked the Sandman.
306,"Hoer features were almost angclic in expression, with an outlino of the utmost delicacy and precision-not cold, classical regularity-but that softer and incomparably more lovely mould pecnliar to our own clime.","Her features were almost angelic in expression, with an outline of the utmost delicacy and precision—not cold, classical regularity—but that softer and incomparably more lovely mould peculiar to our own clime.","Hoer features were almost angelic in expression, with an outline of the utmost delicacy and precision-not cold, classical regularity-but that softer and incomparably more lovely mould peculiar to our own clime."
307,"Vy, his excelleney the Prooshan anbassador bought n Charley from me, t'other week, to present to a certain duchess of his acqsintance, and ot d'ye think he gie for it7"" I don't kno, and I don't want to know,'' reliel Mr.","Vy, his Excellency the Prooshan Ambassador bought a Charley from me, t’other week, to present to a certain duchess of his acquaintance, and wot d’ye think he give for it?” “I don’t know, and I don’t want to know,” replied Mr.","Vy, his excellency the Prooshan ambassador bought n Charley from me, t'other week, to present to a certain duchess of his acquaintance, and ot d'ye think he gie for it7"" I don't know, and I don't want to know,'' replied Mr."
308,"I will now explain tlem to yon, and afterwards we will proceed to the operation.' Witl this, he unfolded the myster; but he bade e observe, that the menstrunm was defective on one point.","I will now explain them to you, and afterwards we will proceed to the operation.’ With this, he unfolded the mystery; but he bade me observe, that the menstruum was defective on one point.","I will now explain them to yon, and afterwards we will proceed to the operation.' Witl this, he unfolded the myster; but he bade e observe, that the menstruum was defective on one point."
309,"As soon as he was gone,'' pursued the dwarf, I flew to the laboratory, and there, extended on the floor, I found the dend body of Dr. Lamb.","“As soon as he was gone,” pursued the dwarf, “I flew to the laboratory, and there, extended on the floor, I found the dead body of Doctor Lamb.","As soon as he was gone,'' pursued the dwarf, I flew to the laboratory, and there, extended on the floor, I found the dead body of Dr. Lamb."
310,I beheld her eiled fgure rise from it.,I beheld her veiled figure rise from it.,I beheld her riled figure rise from it.
311,Here's the beaks' healths I'' eried Ginger.,“Here’s the beaks’ healths!” cried Ginger.,Here's the beaks' healthy I'' eried Ginger.
312,"4I see how it is,'' he cried.","“I see how it is,” he cried.","4I see how it is,'' he cried."
313,It is somo damnable potion you have given me.'' Ha1,“It is some damnable potion you have given me.” “Ha!,It is some damnable potion you have given me.'' Ha1
314,the moon is in her first quarter.,the moon is in her first quarter.,the moon is in her first quarter.
315,There's scarcely a steamer as leves the port o' London but takes out a cargo o' dogs.,There’s scarcely a steamer as leaves the port o’ London but takes out a cargo o’ dogs.,There's scarcely a steamer as levee the port o' London but takes out a cargo o' dogs.
316,"AIl his fears left him, and in their place the gentlest and most delicious fancics arose.","All his fears left him, and in their place the gentlest and most delicious fancies arose.","AIl his fears left him, and in their place the gentlest and most delicious fancies arose."
317,"Fling me the wcapon with which you smoto lim,'' ericd Doctor Lamb, in accents of commiseration, `'`and I ill anoint it ith the powder of sympathy.","“Fling me the weapon with which you smote him,” cried Doctor Lamb, in accents of commiseration, “and I will anoint it with the powder of sympathy.","Fling me the weapon with which you smote lim,'' said Doctor Lamb, in accents of commiseration, `'`and I ill anoint it with the powder of sympathy."
318,"On coming up, and finding Auriol bending over a water-sprite--for such, at first sight, thoe dwarf appeared-they could not repress thcir asstonishment.","On coming up, and finding Auriol bending over a water-sprite—for such, at first sight, the dwarf appeared—they could not repress their astonishment.","On coming up, and finding Auriol bending over a water-sprite--for such, at first sight, thoe dwarf appeared-they could not repress this astonishment."
319,"TYon will,'' rejoined the stranger, peremptorily.","“You will,” rejoined the stranger peremptorily.","TYon will,'' rejoined the stranger, peremptorily."
320,"Oh, that I erer ventured into this plaeel' It's too late to think of that now; besides, you eame here to reseue your daughter,'' rejoined Old Parr.","Oh that I ever ventured into this place!” “It’s too late to think of that now; besides, you came here to rescue your daughter,” rejoined Old Parr.","Oh, that I ever ventured into this plaeel' It's too late to think of that now; besides, you came here to rescue your daughter,'' rejoined Old Parr."
321,"The figure then moved slowly away, and ranged itself with the other eiled forms.","The figure then moved slowly away, and ranged itself with the other veiled forms.","The figure then moved slowly away, and ranged itself with the other tiled forms."
322,"But his conntenance was deathly pale, and his looks were so wild and disordered, that the few persons he encountered shrank from him aghast zz AIOL.","But his countenance was deathly pale, and his looks were so wild and disordered, that the few persons he encountered shrank from him aghast.","But his countenance was deathly pale, and his looks were so wild and disordered, that the few persons he encountered shrank from him aghast zb AIOL."
323,But what care I for that?,But what care I for that?,But what care I for that?
324,"With the object of his loe close beside him, and linked to him by the strongest and holiest ties, it seemed impossible she could bo snatched from him.","With the object of his love close beside him, and linked to him by the strongest and holiest ties, it seemed impossible she could be snatched from him.","With the object of his sloe close beside him, and linked to him by the strongest and holiest ties, it seemed impossible she could bo snatched from him."
325,"Looking round, he beheld hnge mill-stones, enormous water-wheels, boilers of steam-engines, iron vatse, eylinders, cranes, iron pumps of the strangest fashion, a gigantie pair of wooden scales, old iron safes, old boilers, old gas-pipes, old water-pipes, cracked old bells, old birdcsges, old plates of iron, old pnlleys, ropes, and rusty chains, hnddled and heaped together in the most fantsstie disorder.","Looking round, he beheld huge mill-stones, enormous water-wheels, boilers of steam-engines, iron vats, cylinders, cranes, iron pumps of the strangest fashion, a gigantic pair of wooden scales, old iron safes, old boilers, old gas-pipes, old water-pipes, cracked old bells, old bird-cages, old plates of iron, old pulleys, ropes, and rusty chains, huddled and heaped together in the most fantastic disorder.","Looking round, he beheld huge mill-stones, enormous water-wheels, boilers of steam-engines, iron vats, cylinders, cranes, iron pumps of the strangest fashion, a gigantic pair of wooden scales, old iron safes, old boilers, old gas-pipes, old water-pipes, cracked old bells, old birdcages, old plates of iron, old pulleys, ropes, and rusty chains, huddled and heaped together in the most fantastic disorder."
326,"It reminds you of the elixir you once quffed-eh 7'"" tA trnce to tlis raillery I' cried Anricl, angrily.",“It reminds you of the elixir you once quaffed—eh?” “A truce to this raillery!” cried Auriol angrily.,"It reminds you of the elixir you once quffed-eh 7'"" tA dance to tlis raillery I' cried Anricl, angrily."
327,"You shall bny it from me, if you plense.'' At what price?'' asked Auriol, bitterly.","You shall buy it from me, if you please.” “At what price?” asked Auriol bitterly.","You shall buy it from me, if you please.'' At what price?'' asked Auriol, bitterly."
328,Out with it at once.,Out with it at once.,Out with it at once.
329,"Is it, then, too latet'' cried Anriol, despairingly.","“Is it, then, too late?” cried Auriol despairingly.","Is it, then, too lates'' cried Anriol, despairingly."
330,"d shoot the ruffian who treated a dog of mine so, if I canglt hin1' cried Mr.","“I’d shoot the ruffian who treated a dog of mine so, if I caught him!” cried Mr.","d shoot the ruffian who treated a dog of mine so, if I gangly hin1' cried Mr."
331,"Ill go and see wot's tho matter wi' Ginger,'' said tho Sanman, slinking after him.","“I’ll go and see wot’s the matter wi’ Ginger,” said the Sandman, slinking after him.","Ill go and see wot's tho matter wi' Ginger,'' said tho Sanman, slinking after him."
332,"`I only saw him for a few minutes the other night, after I had been thrown into the Serpentine by the tall man in the black cloak.'' What's that yo say 7'' eried Thorneycroft, quickly.","“I only saw him for a few minutes the other night, after I had been thrown into the Serpentine by the tall man in the black cloak.” “What’s that you say?” cried Thorneycroft quickly.","`I only saw him for a few minutes the other night, after I had been thrown into the Serpentine by the tall man in the black cloak.'' What's that yo say 7'' eried Thorneycroft, quickly."
333,"And as they quittel him, he added, in a tone and with a gestre of the deepest despsir, '`All precutions are useless.","And as they quitted him, he added, in a tone and with a gesture of the deepest despair, “All precautions are useless.","And as they quitter him, he added, in a tone and with a gesture of the deepest despair, '`All executions are useless."
334,"4 It were a fruitless boon to gie you this honse withont the means of living in it,'' said Rongemont, carefully closing the door.","“It were a fruitless boon to give you this house without the means of living in it,” said Rougemont, carefully closing the door.","4 It were a fruitless boon to gie you this house withont the means of living in it,'' said Rongemont, carefully closing the door."
335,"Yes-yes,'' cried Auriol, who fancied he saw s means ef escape.","“Yes—yes,” cried Auriol, who fancied he saw a means of escape.","Yes-yes,'' cried Auriol, who fancied he saw s means of escape."
336,I have told you thast I mean to make you rich.,“I have told you that I mean to make you rich.,I have told you that I mean to make you rich.
337,Nor was the building itself deoid of a certain influence npon his mind.,Nor was the building itself devoid of a certain influence upon his mind.,Nor was the building itself devoid of a certain influence npon his mind.
338,"Take my advice, Mr.","Take my advice, Mr.","Take my advice, Mr."
339,":Yon statue, which, as you know, was cast by Habert le Sueur, in 1633, was ordered by prliament to be sold and brokcen to pieces.","“Yon statue, which, as you know, was cast by Hubert le Sueur, in 1633, was ordered by Parliament to be sold and broken to pieces.",":Yon statue, which, as you know, was cast by Habert le Sueur, in 1633, was ordered by parliament to be sold and broken to pieces."
340,"Oh, that I conld shake off the conviction that this wera not so-that my soul, though leavily laden, might still be savedl","“Oh, that I could shake off the conviction that this were not so—that my soul, though heavily laden, might still be saved!","Oh, that I conld shake off the conviction that this were not so-that my soul, though heavily laden, might still be saved"
341,"Wa have been expecting you these four days, and were now walking about to try and find you. MIy daughter has been terribly uneasy.","We have been expecting you these four days, and were now walking about to try and find you. My daughter has been terribly uneasy.","Wa have been expecting you these four days, and were now walking about to try and find you. MIy daughter has been terribly uneasy."
342,Talbot.,Talbot.,Talbot.
343,"If joys and sorrows which we have never endured are stamped upon the brain-if visions of scenes, and faces and events which we have never witnessed, never known, hannt us, as if they had once been familiar7","If joys and sorrows which we have never endured are stamped upon the brain—if visions of scenes, and faces and events which we have never witnessed, never known, haunt us, as if they had once been familiar?","If joys and sorrows which we have never endured are stamped upon the brain-if visions of scenes, and faces and events which we have never witnessed, never known, haunt us, as if they had once been familiar7"
344,"An instant, and all will be well, e Think you I have done this for you 7'' cried Auriol, snatching the potion; `` no-no.'' And, supporting himself against the furnace, he placed the phial to is lips, and eagerly drained its contents.","An instant, and all will be well.” “Think you I have done this for you?” cried Auriol, snatching the potion; “no—no.” And, supporting himself against the furnace, he placed the phial to his lips, and eagerly drained its contents.","An instant, and all will be well, e Think you I have done this for you 7'' cried Auriol, snatching the potion; `` no-no.'' And, supporting himself against the furnace, he placed the phial to is lips, and eagerly drained its contents."
345,"Tha next moment, the coach was pnt in motion, and rattled over the stones at a rapid pace.","The next moment, the coach was put in motion, and rattled over the stones at a rapid pace.","Tha next moment, the coach was set in motion, and rattled over the stones at a rapid pace."
346,"e wWhat idle tale are you inventing ?'' he said, at length.",“What idle tale are you inventing?” he said at length.,"e what idle tale are you inventing ?'' he said, at length."
347,"Anl scating himself at tho table, near the fire, he kickcd np the lad, who was lying fast aslecp on tho cols, and bad him fetch s pot of half-and-halt.","And seating himself at the table, near the fire, he kicked up the lad, who was lying fast asleep on the coals, and bade him fetch a pot of half-and-half.","Anl seating himself at tho table, near the fire, he kicked np the lad, who was lying fast asleep on tho cols, and bad him fetch s pot of half-and-halt."
348,"Accordingly, he offered a good round sum for it, and was declared tho purehaser.","Accordingly, he offered a good round sum for it, and was declared the purchaser.","Accordingly, he offered a good round sum for it, and was declared tho purchaser."
349,He had become little better than a pair of human bellows.,He had become little better than a pair of human bellows.,He had become little better than a pair of human bellows.
350,"Neer mind, father,'' replied Ebba.","“Never mind, father,” replied Ebba.","Neer mind, father,'' replied Ebba."
351,"fSome one approsches,'' Mon than ten minutes had elspsed since Reeks's departure, and Mr.","Some one approaches.” Chapter 2 The Enchanted Chairs More than ten minutes had elapsed since Reeks’ departure, and Mr.","some one approaches,'' Mon than ten minutes had passed since Reeks's departure, and Mr."
352,"I need not remind you of the mysterionus indiridual who tapped at your window last night.'' What of him?'' demanded Ebba, with a thrill of apprehension.","I need not remind you of the mysterious individual who tapped at your window last night.” “What of him?” demanded Ebba, with a thrill of apprehension.","I need not remind you of the mysterious individual who tapped at your window last night.'' What of him?'' demanded Ebba, with a thrill of apprehension."
353,"An ancient and grotesquc-looking brass lamp, with two snake-healed burners, lighted th room.","An ancient and grotesque-looking brass lamp, with two snake-headed burners, lighted the room.","An ancient and grotesquc-looking brass lamp, with two snake-healed burners, lighted th room."
354," IV. So bewildered was the poor iron-merchant by the strange and terrible events that had befallen him, that, though released by the two masked attendants, who left him, as beforo related, to seize Gerard Paston, he felt utterly ineapable of exertion, and would probably hase made no offort to regain his freedom, if his cont had not been vigoronsly placked behind, while a low oice urged him to fly.","Chapter 4 The Pit So bewildered was the poor iron-merchant by the strange and terrible events that had befallen him, that, though released by the two masked attendants, who left him, as before related, to seize Gerard Paston, he felt utterly incapable of exertion, and would probably have made no effort to regain his freedom, if his coat had not been vigorously plucked behind, while a low voice urged him to fly."," IV. So bewildered was the poor iron-merchant by the strange and terrible events that had befallen him, that, though released by the two masked attendants, who left him, as before related, to seize Gerard Paston, he felt utterly incapable of exertion, and would probably have made no effort to regain his freedom, if his cont had not been vigorously blacked behind, while a low voice urged him to fly."
355,"Ay, that's tho questin1'' reioined tho Tinkor.","“Ay, that’s the questin!” rejoined the Tinker.","Ay, that's tho questin1'' rejoined tho Tinkor."
356,"Tle extraordinary and incongruous assemblage of objects which met the gaze of tho Sandman, coupled with the deserted appearanco of the plsce, produced an effeet upon his hardy but superstitious nature.","The extraordinary and incongruous assemblage of objects which met the gaze of the Sandman, coupled with the deserted appearance of the place, produced an effect upon his hardy but superstitious nature.","Tle extraordinary and incongruous assemblage of objects which met the gaze of tho Sandman, coupled with the deserted appearance of the place, produced an effect upon his hardy but superstitious nature."
357,"When I yielded to your entreaties on a former oecasion, and took you forth, I narrowly prevented yon from doing all we met a misehiet.'' I have no recollection of any sueh circumstance,'' returned Auriol, mournfully.","When I yielded to your entreaties on a former occasion, and took you forth, I narrowly prevented you from doing all we met a mischief.” “I have no recollection of any such circumstance,” returned Auriol mournfully.","When I yielded to your entreaties on a former occasion, and took you forth, I narrowly prevented yon from doing all we met a mischief.'' I have no recollection of any such circumstance,'' returned Auriol, mournfully."
358,"He wae, however, soon roused by a pnll at his hair, while a slrill voice called him by his name.","He was, however, soon roused by a pull at his hair, while a shrill voice called him by his name.","He was, however, soon roused by a pull at his hair, while a shrill voice called him by his name."
359,"Wll, in due season came the Restoration,'' pursued MIorse; `` and my master made known to Iing Charles tha Seeond the treasure he had kept concealed for him.","“Well, in due season came the Restoration,” pursued Morse; “and my master made known to King Charles the Second the treasure he had kept concealed for him.","Wll, in due season came the Restoration,'' pursued MIorse; `` and my master made known to Iing Charles tha Seeond the treasure he had kept concealed for him."
360," Arrived there, he looked around, and not seeing any one flung himself upon a bench at the foot of the gentle eminence on which tle gigantic statue of Achilles is placed."," Arrived there, he looked around, and not seeing any one, flung himself upon a bench at the foot of the gentle eminence on which the gigantic statue of Achilles is placed."," Arrived there, he looked around, and not seeing any one flung himself upon a bench at the foot of the gentle eminence on which tle gigantic statue of Achilles is placed."
361,"60 AURIOL. etter ait a bit,'' remarkced Ginger, slaking his heai dubiously.","“Better vait a bit,” remarked Ginger, shaking his head dubiously.","60 AURIOL. wetter wait a bit,'' remarked Ginger, slaking his head dubiously."
362,It is the person I supposed1' ejaculated Auriol.,“It is the person I supposed!” ejaculated Auriol.,It is the person I supposed1' ejaculated Auriol.
363,"Tle Tinker took a place heside him, ad they waited in silence the arrial of the liqnor, which, when it came, as disposed of at a couple of palls; while Mr.","The Tinker took a place beside him, and they waited in silence the arrival of the liquor, which, when it came, was disposed of at a couple of pulls; while Mr.","Tle Tinker took a place beside him, ad they waited in silence the arrival of the liquor, which, when it came, as disposed of at a couple of palls; while Mr."
